matrix_size,time_sec
170,0.003451
171,0.00351
172,0.003565
173,0.003629
174,0.003733
175,0.003832
176,0.003877
177,0.003923
178,0.003965
179,0.004074
180,0.004137
181,0.004221
182,0.004281
183,0.004357
184,0.004478
185,0.004546
186,0.004582
187,0.004662
188,0.004803
189,0.004852
190,0.006741
191,0.006824
192,0.005109
193,0.005197
194,0.005157
195,0.005264
196,0.005438
197,0.005517
198,0.005595
199,0.005639
200,0.005732
201,0.005856
202,0.005922
203,0.00599
204,0.006064
205,0.006212
206,0.00643
207,0.006691
208,0.006466
209,0.00656
210,0.006614
211,0.006768
212,0.006864
213,0.006971
214,0.007072
215,0.007177
216,0.007247
217,0.007371
218,0.00743
219,0.007585
220,0.007689
221,0.007789
222,0.008243
223,0.008342
224,0.008172
225,0.008241
226,0.008346
227,0.00845
228,0.008527
229,0.008672
230,0.008793
231,0.008952
232,0.009019
233,0.009145
234,0.009261
235,0.009344
236,0.009515
237,0.009644
238,0.009985
239,0.010109
240,0.010027
241,0.010236
242,0.010294
243,0.010388
244,0.010488
245,0.010661
246,0.010829
247,0.010924
248,0.01109
249,0.011197
250,0.011309
251,0.011455
252,0.011637
253,0.011801
254,0.039591
255,0.040418
256,0.012269
257,0.012398
258,0.012583
259,0.012662
260,0.012836
261,0.013065
262,0.013124
263,0.013311
264,0.013462
265,0.013529
266,0.013718
267,0.013884
268,0.01411
269,0.01424
270,0.014691
271,0.014847
272,0.014649
273,0.014906
274,0.015033
275,0.015234
276,0.015352
277,0.015547
278,0.015838
279,0.015966
280,0.016027
281,0.016289
282,0.016368
283,0.016603
284,0.016885
285,0.016971
286,0.01759
287,0.017793
288,0.017568
289,0.017786
290,0.017964
291,0.018099
292,0.018218
293,0.018485
294,0.018712
295,0.018883
296,0.01901
297,0.019211
298,0.019412
299,0.01956
300,0.019804
301,0.020055
302,0.020568
303,0.020814
304,0.020752
305,0.020877
306,0.02103
307,0.021291
308,0.021449
309,0.021654
310,0.022098
311,0.022223
312,0.022294
313,0.022598
314,0.022766
315,0.023065
316,0.023222
317,0.023455
318,0.031453
319,0.033321
320,0.024142
321,0.024414
322,0.024596
323,0.024874
324,0.025103
325,0.025414
326,0.025655
327,0.025864
328,0.026163
329,0.026304
330,0.026507
331,0.026739
332,0.02714
333,0.027382
334,0.027915
335,0.028335
336,0.028208
337,0.028325
338,0.028631
339,0.028922
340,0.029619
341,0.029735
342,0.029977
343,0.030684
344,0.03027
345,0.030486
346,0.030785
347,0.030869
348,0.031408
349,0.031507
350,0.032501
351,0.032906
352,0.032782
353,0.032661
354,0.033106
355,0.033372
356,0.033587
357,0.033703
358,0.03474
359,0.034612
360,0.034647
361,0.034859
362,0.035149
363,0.035478
364,0.035988
365,0.036242
366,0.03712
367,0.03746
368,0.037084
369,0.037347
370,0.037421
371,0.038036
372,0.038286
373,0.038577
374,0.039339
375,0.039552
376,0.039626
377,0.039905
378,0.0402
379,0.040524
380,0.040746
381,0.041342
382,0.060341
383,0.061201
384,0.042219
385,0.042721
386,0.043083
387,0.043361
388,0.043678
389,0.043957
390,0.044865
391,0.045882
392,0.045311
393,0.045769
394,0.046097
395,0.046303
396,0.046812
397,0.047174
398,0.047687
399,0.048637
400,0.048549
401,0.04886
402,0.049176
403,0.049739
404,0.049342
405,0.049882
406,0.050643
407,0.051148
408,0.051274
409,0.051674
410,0.051925
411,0.052215
412,0.052586
413,0.052911
414,0.054356
415,0.055348
416,0.055786
417,0.054449
418,0.054962
419,0.055258
420,0.055545
421,0.056029
422,0.056569
423,0.056952
424,0.057317
425,0.057597
426,0.058054
427,0.058453
428,0.059169
429,0.060793
430,0.06222
431,0.06497
432,0.065185
433,0.065862
434,0.066561
435,0.065629
436,0.064879
437,0.065577
438,0.066844
439,0.067693
440,0.066307
441,0.064799
442,0.065321
443,0.065908
444,0.066416
445,0.068066
446,0.091766
447,0.092602
448,0.069912
449,0.070449
450,0.070796
451,0.070875
452,0.071907
453,0.07203
454,0.075342
455,0.073969
456,0.071774
457,0.073059
458,0.073043
459,0.073761
460,0.07421
461,0.074142
462,0.075076
463,0.075994
464,0.075825
465,0.07639
466,0.076878
467,0.077788
468,0.078475
469,0.078873
470,0.079188
471,0.079672
472,0.080133
473,0.08071
474,0.08146
475,0.08192
476,0.08223
477,0.082492
478,0.083871
479,0.08532
480,0.0843
481,0.084926
482,0.085506
483,0.086218
484,0.086836
485,0.087117
486,0.088065
487,0.088291
488,0.088398
489,0.091391
490,0.091032
491,0.090699
492,0.091192
493,0.091565
494,0.092013
495,0.092606
496,0.093312
497,0.093836
498,0.094632
499,0.095082
