timestamp,count,conns,read_bytes_total,latency_ms_sum
1564701000,91293655.0,353.0,11162970210000.0,527565600.9
1564701300,91313922.0,371.0,11164763270000.0,527724832.3
1564701600,91335312.0,366.0,11166793660000.0,527891377.3
1564701900,91353570.0,375.0,11168975380000.0,528081522.6
1564702200,91371394.0,382.0,11170545580000.0,528254490.2
1564702500,91388292.0,389.0,11172154500000.0,528413451.9
1564702800,91405061.0,372.0,11173980950000.0,528597387.0
1564703100,91412156.0,373.0,11175263790000.0,528690140.9
1564703400,91425188.0,361.0,11176802150000.0,528793961.8
1564703700,91433700.0,353.0,11177931510000.0,528877996.3
1564704000,91437928.0,346.0,11178522900000.0,528927896.7
1564704300,91448661.0,388.0,11180052590000.0,529042027.0
1564704600,91468920.0,390.0,11182512690000.0,529250406.8
1564704900,91492097.0,408.0,11185188400000.0,529450673.8
1564705200,91513401.0,429.0,11188206150000.0,529690050.0
1564705500,91542001.0,468.0,11191514530000.0,529987095.3
1564705800,91567609.0,461.0,11194787860000.0,530328915.3
1564706100,91585153.0,423.0,11197198450000.0,530555869.7
1564706400,91601872.0,425.0,11199123820000.0,530724578.2
1564706700,91620510.0,407.0,11200982430000.0,530917082.7
1564707000,91632123.0,393.0,11202254800000.0,531025204.9
1564707300,91642423.0,390.0,11203702870000.0,531124903.9
1564707600,91654574.0,389.0,11205528550000.0,531287640.7
1564707900,91677801.0,441.0,11208274170000.0,531546453.8
1564708200,91697271.0,449.0,11210946920000.0,531774255.0
1564708500,91731986.0,459.0,11214150630000.0,532089488.5
1564708800,91774034.0,477.0,11217112110000.0,532455622.9
1564709100,91828710.0,472.0,11221708490000.0,533194346.0
1564709400,91891837.0,495.0,11226253240000.0,533984970.7
1564709700,91943386.0,512.0,11230451890000.0,534654445.0
1564710000,91988504.0,500.0,11233806770000.0,535196494.9
1564710300,92039353.0,500.0,11237906230000.0,535798237.1
1564710600,92085776.0,477.0,11241852750000.0,536268547.9
1564710900,92121534.0,470.0,11245328090000.0,536748725.5
1564711200,92155389.0,489.0,11248348070000.0,537245232.5
1564711500,92194922.0,518.0,11252388340000.0,537835869.0
1564711800,92241953.0,497.0,11256679750000.0,538534940.4
1564712100,92287310.0,509.0,11260777870000.0,539189423.9
1564712400,92336368.0,507.0,11265472920000.0,539883339.0
1564712700,92382749.0,510.0,11269493960000.0,540699401.6
1564713000,92433851.0,481.0,11273298330000.0,541562878.6
1564713300,92475044.0,479.0,11276602860000.0,542269780.7
1564713600,92521368.0,487.0,11280603860000.0,543024127.9
1564713900,92569969.0,505.0,11285460560000.0,544142099.5
1564714200,92615668.0,510.0,11290397000000.0,545157677.1
1564714500,92666160.0,500.0,11299266740000.0,546172161.5
1564714800,92705596.0,508.0,11307050680000.0,547069577.9
1564715100,92749642.0,625.0,11315112460000.0,548194104.1
1564715400,92794906.0,605.0,11322607220000.0,549325359.9
1564715700,92842502.0,651.0,11330524770000.0,550649014.7
1564716000,92881851.0,677.0,11337497770000.0,551710534.5
1564716300,92923039.0,722.0,11344817040000.0,553022282.1
1564716600,92985954.0,755.0,11353224400000.0,554860610.4
1564716900,93037091.0,731.0,11361073040000.0,556486344.4
1564717200,93077328.0,687.0,11368703430000.0,557689828.4
1564717500,93110640.0,647.0,11376188100000.0,558666294.6
1564717800,93147846.0,630.0,11383870220000.0,559761002.8
1564718100,93181739.0,602.0,11391186310000.0,560961417.0
1564718400,93215092.0,589.0,11397798180000.0,562068912.6
1564718700,93256272.0,654.0,11405479350000.0,563277185.8
1564719000,93307690.0,636.0,11414555140000.0,564718026.4
1564719300,93351304.0,647.0,11422753960000.0,565853642.8
1564719600,93397952.0,660.0,11431493930000.0,567204045.7
1564719900,93445436.0,631.0,11439994140000.0,568444349.8
1564720200,93490664.0,647.0,11448489320000.0,569791822.6
1564720500,93524504.0,612.0,11455240200000.0,570942186.9
1564720800,93558272.0,605.0,11462555720000.0,571889546.7
1564721100,93591987.0,571.0,11470394590000.0,572775037.7
1564721400,93619288.0,562.0,11477247510000.0,573452517.6
1564721700,93641015.0,553.0,11482831740000.0,574022474.0
1564722000,93663291.0,548.0,11489643120000.0,574542462.5
1564722300,93702864.0,566.0,11498570400000.0,575314177.9
1564722600,93741110.0,560.0,11507439900000.0,576051111.2
1564722900,93780703.0,553.0,11516617410000.0,576739514.7
1564723200,93817521.0,561.0,11525342710000.0,577399539.9
1564723500,93858823.0,565.0,11534344620000.0,578330874.4
1564723800,93896384.0,541.0,11542515740000.0,579048397.1
1564724100,93938068.0,528.0,11551041320000.0,579745015.9
1564724400,93984023.0,526.0,11561127090000.0,580531853.2
1564724700,94021313.0,511.0,11568991310000.0,581130783.1
1564725000,94062990.0,487.0,11577203400000.0,581765065.7
1564725300,94111130.0,469.0,11586351820000.0,582479487.6
1564725600,94166415.0,481.0,11596772220000.0,583177523.8
1564725900,94228455.0,516.0,11608127160000.0,584020478.3
1564726200,94296012.0,493.0,11620200840000.0,584964446.9
1564726500,94360645.0,484.0,11631632830000.0,585950004.4
1564726800,94442842.0,494.0,11644215280000.0,587079340.8
1564727100,94517040.0,481.0,11655397420000.0,588145425.9
1564727400,94588203.0,483.0,11667695730000.0,589110428.1
1564727700,94650245.0,459.0,11678034860000.0,590073918.9
1564728000,94731732.0,446.0,11689373460000.0,590937503.3
1564728300,94808407.0,438.0,11700669470000.0,591626017.6
